Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
Ellis-Velazquez,Katie Cervantes,Ejecutivo de Ventas,402050698,imcintyre@example.net,selling,4,2,0,27391,Servicios,Mediana,12,6,0
"Kelley, Rivera and Buck",Tommy Harris,CEO,412577911,medinarichard@example.com,qualifying,1,0,0,36807,Manufactura,Mediana,17,1,0
Anderson-Brown,Erik Washington,CEO,824652713,jwaters@example.com,selling,5,3,1,19378,Servicios,Pequeña,3,9,0
Montgomery-Smith,Tristan Cohen,Analista,306463963,srivera@example.com,selling,4,7,0,47628,Retail,Pequeña,16,11,0
"Burns, Matthews and Ellison",John Blackburn,Especialista de Producto,190829960,brandiramirez@example.org,selling,4,0,0,6824,Servicios,Pequeña,11,4,0
"Smith, Landry and Yates",Crystal Burgess,Especialista de Producto,485535607,aaron77@example.org,selling,3,3,1,7268,Servicios,Mediana,41,7,0
Woodard-Phillips,Kimberly Martin,Especialista de Producto,438091658,millerapril@example.com,closing,0,5,2,27067,Educación,Mediana,5,7,0
Rodriguez Group,Amber Garcia,Consultor,284954744,oliviaherrera@example.com,closing,7,4,1,24751,Manufactura,Grande,25,12,0
"Nguyen, Holmes and Jackson",Jason Henderson DDS,Especialista de Producto,477291318,walkerbrittany@example.com,closing,1,0,0,33759,Manufactura,Pequeña,38,1,0
"Lopez, Daugherty and Miller",Jeremy Barrett,Analista,423509282,david03@example.net,qualifying,3,3,2,49553,Servicios,Grande,27,8,0
"Martin, Johnson and Solis",Christina Foster,CEO,185233246,leonardcox@example.org,selling,4,2,0,14158,Retail,Mediana,44,6,0
Marshall PLC,Timothy Peterson,Consultor,390268400,meghanlawson@example.net,negotiating,1,3,4,36168,Tecnología,Pequeña,32,8,0
Mitchell-Wilkerson,Richard Gonzales,CTO,477492050,ycline@example.net,selling,4,0,1,41957,Tecnología,Mediana,35,5,0
Moore-Cox,Michelle Turner,Gerente de Marketing,976928976,smithchase@example.org,qualifying,5,4,1,5490,Educación,Grande,43,10,0
Warner-Snyder,Elizabeth Richards,CEO,646560227,grayjames@example.org,selling,3,3,0,36369,Servicios,Mediana,47,6,0
Martin Ltd,Jamie Clark,Ejecutivo de Ventas,891033988,kristinahogan@example.com,qualifying,5,1,1,16969,Servicios,Mediana,40,7,0
Farley and Sons,Daryl Rowe,Gerente de Marketing,485142025,brandon28@example.org,qualifying,6,0,2,38559,Manufactura,Pequeña,10,8,0
Bell-Moore,Casey Le,Gerente de Marketing,973525953,nperez@example.org,closing,7,2,1,15287,Manufactura,Grande,26,10,1
"Moore, Ingram and Osborne",Douglas Best,Especialista de Producto,529571625,spencerbarbara@example.com,selling,5,2,1,17741,Manufactura,Mediana,7,8,0
"Holden, Hicks and Schultz",Scott Crawford,CEO,721412642,amy07@example.com,selling,7,0,2,2788,Tecnología,Mediana,41,9,0
Johnston-Austin,Bruce Porter MD,Gerente de Marketing,842025517,beverlylin@example.com,selling,1,3,1,17659,Servicios,Pequeña,23,5,0
Fowler-Tucker,Greg Freeman,Gerente de Marketing,403664367,jennifer93@example.org,closing,3,2,1,11351,Manufactura,Pequeña,46,6,0
Dixon and Sons,Amanda Wright,CEO,884569376,carlos04@example.org,selling,1,0,0,42329,Retail,Mediana,39,1,0
"Ross, Baxter and Hunt",Julie Parks,CEO,996355058,alvarezdanny@example.com,closing,4,1,2,33902,Retail,Grande,6,7,0
Sherman-Jones,Mark King,Especialista de Producto,965371557,adambradley@example.org,selling,3,1,2,14936,Retail,Pequeña,10,6,0
Patel and Sons,Michelle Harper,Consultor,342780314,tracypierce@example.org,closing,1,2,0,2608,Salud,Grande,30,3,0
Bryan and Sons,Troy Williams,CEO,517439163,christopherpalmer@example.net,qualifying,2,0,0,25101,Servicios,Mediana,11,2,0
Horton Inc,Tracey Burch,CEO,335471543,daniel68@example.net,closing,5,0,0,441,Retail,Pequeña,21,5,0
"Anderson, Gibson and Burns",Lisa Clark,Analista,701632648,fmorales@example.org,negotiating,1,2,0,43262,Tecnología,Pequeña,31,3,0
"Roberts, Anderson and Whitney",Amy Gallegos,Analista,903301757,nhuber@example.com,selling,3,0,2,44642,Salud,Pequeña,27,5,0
Christensen Inc,Jonathan Mayer,Analista,280035939,joshuacurry@example.org,negotiating,4,0,0,49870,Tecnología,Mediana,11,4,0
"Williams, Thomas and Robles",Jennifer Hebert,CTO,436152588,smaynard@example.com,negotiating,8,0,0,26297,Salud,Mediana,21,8,0
Anderson-Jones,Kevin Salas,Ejecutivo de Ventas,171356275,hensonkayla@example.org,qualifying,5,0,1,3400,Educación,Grande,13,6,0
Hoffman Group,Jason Novak,CTO,364908299,ryanaustin@example.org,selling,5,4,1,18879,Retail,Mediana,19,10,0
"Brooks, Wolfe and Duncan",Craig King,CTO,807788435,gonzalesdawn@example.com,selling,8,2,2,32430,Manufactura,Pequeña,2,12,0
"Cline, Rodriguez and Smith",Samuel Lynch,Gerente de Marketing,980595299,sarahwatts@example.com,closing,3,4,0,2895,Tecnología,Mediana,17,7,0
Beck LLC,Teresa Moreno,Gerente de Marketing,696612406,peckvalerie@example.com,selling,3,0,1,14708,Salud,Pequeña,15,4,0
Gonzales-King,Aaron Rios,CEO,098737981,brian37@example.com,negotiating,7,1,0,50264,Educación,Mediana,18,8,0
Wilson Ltd,Henry Webster,Consultor,678670017,perezgregory@example.org,selling,2,1,2,8072,Tecnología,Pequeña,6,5,0
Johnston-Johnson,Jesse Rodriguez,Gerente de Marketing,574233878,christopherbarrett@example.com,qualifying,7,2,0,16595,Retail,Pequeña,38,9,0
Stewart-Wade,Victoria Figueroa,Especialista de Producto,366335900,jordansuzanne@example.com,closing,2,3,0,6132,Retail,Pequeña,10,5,0
Carr-Myers,John Kim,Especialista de Producto,399885073,denisebecker@example.org,closing,2,2,0,49012,Tecnología,Pequeña,30,4,0
"Sexton, Cummings and Harris",Linda Hernandez,CEO,692066356,jaredkeith@example.com,qualifying,0,2,1,41564,Retail,Pequeña,21,3,0
Sherman-Campbell,Cody Foster,Especialista de Producto,949931844,hsaunders@example.com,qualifying,7,2,1,38928,Retail,Mediana,10,10,0
"Townsend, Townsend and Griffin",Rebecca Chandler,Gerente de Marketing,209811490,browncassandra@example.org,negotiating,6,0,0,9586,Manufactura,Pequeña,24,6,0
Doyle and Sons,Nathan Taylor,Ejecutivo de Ventas,093589187,ashleyfuentes@example.org,selling,6,1,0,4728,Educación,Mediana,34,7,0
Elliott-Mack,Julia Rodriguez,Consultor,315372347,jillgordon@example.net,qualifying,6,2,0,39910,Educación,Mediana,39,8,0
"Higgins, Smith and Jackson",Nicole Powell,CTO,714901396,ncruz@example.org,qualifying,3,3,0,26629,Salud,Pequeña,5,6,0
Conner-Pitts,Thomas James,Analista,457374035,eric53@example.org,qualifying,0,0,1,2383,Retail,Grande,7,1,0
Griffith PLC,Steven Shepherd,Consultor,539608931,eric25@example.net,closing,2,3,0,13021,Salud,Pequeña,36,5,0
Green-Molina,Bianca Ibarra,CTO,449779670,cmiller@example.net,negotiating,3,4,2,51208,Retail,Mediana,21,9,0
Young Inc,Regina Mccarthy,Gerente de Marketing,475536934,dylanmckay@example.net,selling,8,4,0,33525,Tecnología,Mediana,4,12,0
Webb PLC,Tonya Knapp,Ejecutivo de Ventas,539105873,livingstonheather@example.net,selling,3,0,1,19089,Retail,Pequeña,16,4,0
Romero and Sons,Laura Jenkins,Gerente de Marketing,261031565,hsmith@example.net,negotiating,6,0,0,48634,Retail,Pequeña,29,6,0
"Greene, Howard and Galvan",Erica Medina,Ejecutivo de Ventas,863040296,ramoscory@example.com,qualifying,2,1,0,16081,Salud,Mediana,17,3,0
Green LLC,Monica Ali,Ejecutivo de Ventas,667706380,oprice@example.com,qualifying,5,3,0,7072,Manufactura,Mediana,20,8,0
"Ford, Estrada and Parks",Lisa Sanchez,CTO,408213305,jacksondavid@example.com,qualifying,2,2,1,37190,Salud,Grande,8,5,0
"Harrison, Lynch and Leonard",Kenneth Mitchell,Especialista de Producto,099608749,andrewcaldwell@example.com,closing,4,1,0,23863,Servicios,Pequeña,8,5,0
Huff Group,Rachel Contreras,Ejecutivo de Ventas,075890730,alvarezrandy@example.com,negotiating,6,4,1,45608,Retail,Pequeña,19,11,0
Hodges-Nichols,Tiffany Montgomery,Ejecutivo de Ventas,065082547,copelandelizabeth@example.net,qualifying,7,2,2,38946,Salud,Mediana,43,11,0
"Ruiz, Carson and Spears",Anthony Bell,Gerente de Marketing,767703737,harrisscott@example.org,qualifying,8,1,5,46062,Retail,Pequeña,14,14,0
Torres-Gates,James Anderson,CTO,645173164,jacksoncourtney@example.com,qualifying,2,1,0,43865,Educación,Pequeña,33,3,0
Hill-Ray,Brandi King,CEO,191776518,jimenezdavid@example.org,negotiating,4,0,0,3222,Educación,Pequeña,12,4,0
"Tyler, Hamilton and Brooks",Mr. Andrew Carrillo MD,Gerente de Marketing,438236989,laura71@example.org,qualifying,2,0,0,46982,Retail,Pequeña,11,2,0
Thompson PLC,Lisa Herrera,Gerente de Marketing,033075519,zreyes@example.com,qualifying,7,0,1,11098,Tecnología,Mediana,28,8,0
Kaiser Inc,Briana Gonzalez,CEO,450289091,danielcollins@example.org,closing,5,1,0,3363,Retail,Grande,10,6,0
"Beltran, Baldwin and Knight",Janice Watkins,Especialista de Producto,507919875,gordonbrittany@example.org,closing,4,1,2,33294,Educación,Pequeña,28,7,0
Perry Group,Dr. Aaron Padilla,Especialista de Producto,149377405,martinezkenneth@example.org,selling,6,2,1,7365,Salud,Pequeña,4,9,0
Brown-Price,Alicia Davis,Gerente de Marketing,175951077,pharris@example.org,negotiating,6,4,1,42026,Retail,Pequeña,45,11,0
Cruz Inc,Jessica Williams,Consultor,579713376,ronnie48@example.com,closing,1,1,1,23632,Retail,Grande,7,3,0
Perry-Coleman,Shawn Gardner,Consultor,347256167,deborah87@example.com,selling,1,3,0,11618,Retail,Pequeña,21,4,0
Patel Ltd,Trevor Morton,Ejecutivo de Ventas,935554464,qwilliams@example.net,closing,5,5,0,23043,Salud,Pequeña,22,10,0
"Macdonald, Lopez and Lee",Jennifer Collins,Especialista de Producto,789634331,woodscole@example.net,negotiating,10,1,2,14854,Salud,Pequeña,33,13,0
Bailey Group,Julie Underwood,Gerente de Marketing,442903378,strongwillie@example.net,closing,2,4,2,40835,Salud,Mediana,4,8,0
Bennett-Larson,Amber Novak,Ejecutivo de Ventas,505260658,angelica73@example.net,closing,4,4,1,45427,Servicios,Pequeña,38,9,0
"Collins, Rodriguez and Payne",Dean Lewis,Ejecutivo de Ventas,657288868,eric20@example.com,negotiating,4,3,0,31674,Salud,Pequeña,30,7,0
Morris-Davis,Meagan Caldwell,Ejecutivo de Ventas,148791475,griffinryan@example.net,closing,6,3,1,10261,Educación,Mediana,8,10,0
"Thomas, Garza and Mills",Dustin Murphy,Gerente de Marketing,116213226,stephaniedawson@example.org,negotiating,2,3,0,24863,Manufactura,Pequeña,6,5,0
"Howell, Adams and Adams",Brandon Torres,Ejecutivo de Ventas,918478881,fieldscynthia@example.net,closing,0,0,0,14535,Manufactura,Pequeña,31,0,0
Ellis-Shepherd,Shannon Terry,Especialista de Producto,516281473,hartjavier@example.net,closing,1,1,2,13859,Tecnología,Pequeña,30,4,0
Morris-York,Alec Thornton,Consultor,614517579,knightlaura@example.org,negotiating,6,3,0,21297,Educación,Pequeña,28,9,0
"Foster, Nguyen and Lambert",Aaron Shaw,Consultor,327937663,kreed@example.com,selling,2,3,2,4807,Educación,Mediana,47,7,0
Kane PLC,Catherine Jimenez,CTO,092840204,allison86@example.net,selling,1,1,0,4032,Retail,Grande,2,2,0
Smith-Mclaughlin,Tara Webb,Ejecutivo de Ventas,060138560,williamjones@example.com,qualifying,2,0,0,40281,Servicios,Grande,10,2,0
King-Bishop,Bryan Cole,Analista,875539691,joshuahart@example.net,selling,4,1,1,13669,Manufactura,Pequeña,23,6,0
"Stokes, Herring and Smith",Brian Davis,Ejecutivo de Ventas,246474918,lauriebarrett@example.com,closing,0,3,1,13126,Tecnología,Grande,45,4,0
"Patrick, Cain and Rojas",Alison Smith,CTO,327364302,bsmith@example.net,closing,5,4,1,8259,Servicios,Pequeña,9,10,0
Parker Group,David Norman,Gerente de Marketing,061776292,burnettsarah@example.net,negotiating,3,4,0,7863,Retail,Pequeña,37,7,0
Smith and Sons,Patricia Miller,Analista,735363923,campbellpatrick@example.net,selling,2,1,0,19590,Tecnología,Pequeña,30,3,0
Campbell-Norris,Chad Johnson,CTO,108544248,josephhansen@example.net,qualifying,2,2,1,24104,Manufactura,Grande,40,5,0
Olson-Baxter,Neil Young,Consultor,945738852,hcox@example.net,selling,7,2,1,18553,Tecnología,Pequeña,13,10,0
Cooper and Sons,Heather Maxwell,Especialista de Producto,324259069,watsonandrea@example.net,closing,0,1,0,17085,Manufactura,Mediana,16,1,0
"Carroll, Moran and Hudson",Ashley Moody,CEO,093501957,christina81@example.org,closing,1,0,4,4504,Retail,Pequeña,41,5,0
Sparks Group,Karen Johnson,Consultor,119969922,michaelbarber@example.net,closing,3,4,0,-2070,Salud,Grande,13,7,0
Ellis Inc,Bonnie Mitchell,Gerente de Marketing,167452468,jason70@example.com,negotiating,7,1,0,6194,Servicios,Mediana,46,8,0
Winters Ltd,Linda Ferrell,CEO,322606361,briancarlson@example.net,qualifying,2,2,0,31129,Servicios,Pequeña,30,4,0
"Wright, Mcbride and Martinez",Jason Johnson,CTO,429858258,byrdjared@example.org,qualifying,3,3,2,26018,Salud,Pequeña,30,8,0
Leonard-Thomas,Gregory Chavez,CTO,815035870,richardsjohn@example.com,qualifying,5,2,0,37085,Manufactura,Grande,37,7,0
Brown LLC,Alexis Brown,Ejecutivo de Ventas,347013867,qhall@example.org,negotiating,2,3,0,3265,Educación,Mediana,4,5,0
"Ellis, Kim and Luna",Kurt Hall,CEO,233445295,dawsonshannon@example.net,closing,3,0,2,49150,Manufactura,Pequeña,35,5,0
Sanchez-Jones,Richard Adams,Gerente de Marketing,199055495,michael20@example.org,closing,9,1,0,31657,Manufactura,Pequeña,35,10,0
"Robles, Vega and Wiggins",Jill Martin,Especialista de Producto,451015938,loridavis@example.org,closing,6,1,3,36837,Servicios,Mediana,44,10,0
"Roman, Daniel and Berger",Rachel Smith,Consultor,376736816,jamie17@example.org,qualifying,10,4,0,3777,Servicios,Mediana,43,14,0
Martin-Johnson,Justin Harper,Consultor,986977914,floressheri@example.com,closing,5,2,1,8617,Salud,Pequeña,33,8,0
"Frey, Baker and Gonzalez",Karen White,Analista,977847494,edwardflores@example.org,negotiating,6,4,0,20293,Manufactura,Pequeña,23,10,0
Colon Inc,Cynthia Brown,CTO,495392922,anthonyclay@example.com,closing,2,2,0,24762,Manufactura,Pequeña,27,4,0
Sweeney Ltd,Hunter Coleman,Especialista de Producto,142814427,johnstonallison@example.com,closing,5,0,0,38916,Tecnología,Pequeña,14,5,0
Gallagher Group,Daniel Velez,Especialista de Producto,526017726,davidbooker@example.org,negotiating,2,4,0,13171,Manufactura,Grande,35,6,0
"Baird, Baker and Ferguson",Justin Robinson,Gerente de Marketing,969187462,brandon09@example.org,qualifying,6,2,1,40507,Manufactura,Grande,9,9,0
Pierce-Hernandez,Jennifer Bailey,Analista,227777576,ssummers@example.net,closing,3,5,0,35638,Tecnología,Mediana,47,8,0
"Cain, Nichols and Wilson",Jill Mccormick,CTO,292759602,jacob78@example.org,selling,3,1,0,14236,Manufactura,Pequeña,43,4,0
Smith-Poole,Vincent Bennett,Especialista de Producto,718583207,mary52@example.com,closing,4,0,2,38522,Educación,Mediana,36,6,0
"Collins, Cobb and Gray",Dr. Douglas Daniel,Gerente de Marketing,680502852,michaeljames@example.net,negotiating,4,3,0,-1216,Retail,Grande,38,7,0
Huffman LLC,Paul Christensen,CEO,348141577,anne23@example.net,qualifying,1,3,1,7285,Manufactura,Pequeña,23,5,0
Anderson LLC,Danielle Nelson,Especialista de Producto,883269412,waltonleslie@example.net,closing,3,3,1,46114,Educación,Mediana,24,7,0
"Eaton, Nguyen and Edwards",Megan Henry,CTO,260895989,sabrina78@example.org,qualifying,7,4,1,11766,Salud,Pequeña,6,12,0
"Barron, Armstrong and Pierce",Richard Winters,Consultor,038474134,dwilson@example.com,selling,5,4,2,25053,Educación,Pequeña,20,11,0
Myers-Hensley,Mary Fleming,Gerente de Marketing,144199587,gentryrobert@example.com,selling,3,3,0,32327,Retail,Pequeña,5,6,0
"Gonzalez, Underwood and Petersen",Julie Carter,CEO,991553288,fjohnson@example.net,closing,2,6,2,33823,Servicios,Pequeña,10,10,0
Richards-Weaver,William Banks,Consultor,928061877,robertschultz@example.net,negotiating,2,5,0,23435,Salud,Pequeña,2,7,0
"Warner, Werner and Peters",James White,Ejecutivo de Ventas,632007735,stacey33@example.net,selling,7,1,0,34096,Tecnología,Pequeña,27,8,0
Sweeney PLC,James Turner PhD,CEO,296135030,hartjade@example.net,closing,3,0,2,5211,Retail,Pequeña,39,5,0
"Moore, Williams and Cruz",Tracey Smith,Ejecutivo de Ventas,850946747,ronnie83@example.com,closing,2,1,1,43509,Educación,Pequeña,10,4,0
"Richardson, King and Barton",Corey Potter,Analista,566748689,pcook@example.com,selling,4,2,0,40596,Servicios,Pequeña,18,6,0
Lang and Sons,Scott Haynes,Analista,784351159,johnrasmussen@example.net,negotiating,4,3,0,17607,Manufactura,Pequeña,1,7,0
Lopez PLC,Lisa Harris,CEO,427180257,david44@example.org,negotiating,3,1,0,29628,Manufactura,Grande,37,4,0
Le-Wells,Douglas Campbell,Consultor,751283552,johnsonkarina@example.org,qualifying,1,1,0,16526,Educación,Pequeña,20,2,0
Williams Group,Adam Jackson,Consultor,362521680,edickson@example.org,qualifying,7,3,1,8952,Educación,Grande,4,11,0
White Group,Jonathan Meadows,Ejecutivo de Ventas,492847792,churchannette@example.com,qualifying,4,0,1,34697,Tecnología,Pequeña,19,5,0
"Page, Villanueva and Mendez",Rebecca Williams,CTO,246246532,michaelmoreno@example.org,closing,3,2,0,-205,Servicios,Mediana,2,5,0
"Landry, Martinez and Cervantes",Jessica Fox MD,CEO,998326227,ashley99@example.net,selling,2,4,0,21696,Educación,Pequeña,44,6,0
"Owen, Vega and Smith",Sean Martin,CTO,236603436,hurstdavid@example.com,qualifying,4,3,1,27216,Tecnología,Mediana,27,8,0
Barnett-Beard,Mary Davis,CTO,137399970,marshalltimothy@example.org,negotiating,7,0,1,41243,Manufactura,Mediana,20,8,0
"Bowers, Fox and Clark",Douglas Moore,CTO,940811620,mary54@example.net,negotiating,2,0,0,24165,Educación,Mediana,28,2,0
Ward-Rodriguez,Hunter Hunter,Ejecutivo de Ventas,282373085,rodgerssteven@example.com,qualifying,3,0,1,18151,Manufactura,Pequeña,3,4,0
Collins-Woods,Daniel Davis,Analista,613597252,ryanmark@example.org,closing,2,3,2,45340,Tecnología,Pequeña,29,7,0
"Bailey, Garza and Morales",Daniel Gillespie,Ejecutivo de Ventas,435873179,jasonmiles@example.net,closing,3,3,0,11203,Servicios,Pequeña,29,6,0
"Rich, Miller and Mccullough",Michael Smith,CTO,765874900,paul67@example.net,qualifying,7,3,1,31370,Servicios,Mediana,4,11,0
"Hill, Stewart and Berg",Randy Shannon,CTO,034823678,randyhart@example.net,qualifying,5,1,2,33822,Servicios,Pequeña,23,8,0
Edwards-Moss,Randall Johnson,Consultor,711208665,manncharles@example.com,negotiating,8,1,0,38299,Manufactura,Grande,38,9,0
"Oneal, Lamb and Smith",Chris Bailey,CEO,444190865,johnhart@example.org,negotiating,2,0,0,18097,Salud,Pequeña,3,2,0
Phillips-Waller,Kyle Wolfe,Gerente de Marketing,652554245,chelseaarmstrong@example.org,closing,2,1,0,36260,Salud,Mediana,45,3,0
Schmidt-Thompson,Michael Anderson,Ejecutivo de Ventas,064366581,erikaphillips@example.net,qualifying,3,0,0,31367,Educación,Pequeña,27,3,0
Ramsey Ltd,Angela Gallagher,CEO,920123080,lauraphillips@example.net,qualifying,3,2,0,46587,Manufactura,Pequeña,32,5,0
"Best, Dunn and Floyd",Joyce Randolph,CTO,559856378,john54@example.org,qualifying,3,3,0,32457,Manufactura,Mediana,1,6,0
Carson-Perry,William Thompson,Especialista de Producto,320440545,wardleslie@example.net,qualifying,3,1,1,3964,Tecnología,Mediana,19,5,0
Roberts-Wilson,Jeffrey Anderson MD,Ejecutivo de Ventas,885160607,amckinney@example.com,selling,9,3,1,34945,Tecnología,Pequeña,17,13,1
West Group,Cheryl Davis,Ejecutivo de Ventas,442120111,molly88@example.org,selling,2,0,1,12765,Salud,Pequeña,45,3,0
Gonzalez Inc,Jonathan Smith,Analista,461110737,tracey59@example.com,qualifying,4,1,1,38599,Tecnología,Pequeña,20,6,0
Mejia and Sons,Kelsey Wilson,Ejecutivo de Ventas,086270203,durhamtonya@example.org,selling,1,1,1,15481,Servicios,Pequeña,14,3,0
"Wilson, Branch and Coleman",Lori Santiago,Ejecutivo de Ventas,868067932,mhart@example.net,selling,0,1,2,10925,Servicios,Pequeña,19,3,0
"Franklin, Paul and Arroyo",Lisa Jackson,Gerente de Marketing,872434325,ashleyhays@example.org,selling,1,7,2,33667,Tecnología,Pequeña,11,10,0
"Schroeder, Williams and Williams",Sheri Baker,CTO,067011999,orrnatalie@example.org,selling,6,2,1,13075,Salud,Grande,30,9,0
Bernard-Duncan,Eric Gomez,Gerente de Marketing,231248914,william15@example.net,qualifying,7,0,0,20664,Tecnología,Pequeña,29,7,0
"Ramos, Gonzalez and Adkins",Michael Meyer,Especialista de Producto,605536282,deborah87@example.net,closing,7,6,0,32119,Manufactura,Pequeña,28,13,0
Soto-Wright,Jennifer Harris,CEO,917928634,kristi37@example.org,closing,3,3,0,1874,Salud,Grande,7,6,0
Brown PLC,Barry Gregory,CTO,968024983,jbutler@example.net,negotiating,6,2,0,14997,Educación,Pequeña,37,8,0
